ID,Veloc,Tiempo,Angulo,Desgaste
1,1,1,1,0.01865
2,1,1,2,0.01639
3,1,1,3,0.01203
4,1,2,1,0.02455
5,1,2,2,0.02036
6,1,2,3,0.01451
7,1,3,1,0.02866
8,1,3,2,0.02133
9,1,3,3,0.01693
10,2,1,1,0.03078
11,2,1,2,0.01908
12,2,1,3,0.01696
13,2,2,1,0.03370
14,2,2,2,0.02408
15,2,2,3,0.01920
16,2,3,1,0.03326
17,2,3,2,0.02700
18,2,3,3,0.02304
19,3,1,1,0.03099
20,3,1,2,0.02333
21,3,1,3,0.01916
22,3,2,1,0.03605
23,3,2,2,0.02873
24,3,2,3,0.02362
25,3,3,1,0.04550
26,3,3,2,0.03368
27,3,3,3,0.03015
