ID,Veloc,Tiempo,Angulo,Desgaste
1,1000,60,15,0.01865
2,1000,60,30,0.01639
3,1000,60,45,0.01203
4,1000,120,15,0.02455
5,1000,120,30,0.02036
6,1000,120,45,0.01451
7,1000,180,15,0.02866
8,1000,180,30,0.02133
9,1000,180,45,0.01693
10,1250,60,15,0.03078
11,1250,60,30,0.01908
12,1250,60,45,0.01696
13,1250,120,15,0.03370
14,1250,120,30,0.02408
15,1250,120,45,0.01920
16,1250,180,15,0.03326
17,1250,180,30,0.02700
18,1250,180,45,0.02304
19,1500,60,15,0.03099
20,1500,60,30,0.02333
21,1500,60,45,0.01916
22,1500,120,15,0.03605
23,1500,120,30,0.02873
24,1500,120,45,0.02362
25,1500,180,15,0.04550
26,1500,180,30,0.03368
27,1500,180,45,0.03015
